MarketDate,Name,MarketPrice
05/07/2016,Safaricom Ltd Ord 0.05,17.35
06/07/2016,Safaricom Ltd Ord 0.05,17.55
08/07/2016,Safaricom Ltd Ord 0.05,17.55
11/07/2016,Safaricom Ltd Ord 0.05,17.45
12/07/2016,Safaricom Ltd Ord 0.05,17.3
13/07/2016,Safaricom Ltd Ord 0.05,17.35
15/07/2016,Safaricom Ltd Ord 0.05,17.35
18/07/2016,Safaricom Ltd Ord 0.05,17.25
19/07/2016,Safaricom Ltd Ord 0.05,17.65
20/07/2016,Safaricom Ltd Ord 0.05,18
21/07/2016,Safaricom Ltd Ord 0.05,18.1
22/07/2016,Safaricom Ltd Ord 0.05,18.05
25/07/2016,Safaricom Ltd Ord 0.05,18.1
26/07/2016,Safaricom Ltd Ord 0.05,18.85
27/07/2016,Safaricom Ltd Ord 0.05,18.85
28/07/2016,Safaricom Ltd Ord 0.05,18.9
29/07/2016,Safaricom Ltd Ord 0.05,19.05
01/08/2016,Safaricom Ltd Ord 0.05,19.4
02/08/2016,Safaricom Ltd Ord 0.05,20
03/08/2016,Safaricom Ltd Ord 0.05,20.25
04/08/2016,Safaricom Ltd Ord 0.05,19.65
05/08/2016,Safaricom Ltd Ord 0.05,19.8
08/08/2016,Safaricom Ltd Ord 0.05,19.7
09/08/2016,Safaricom Ltd Ord 0.05,19.75
10/08/2016,Safaricom Ltd Ord 0.05,19.9
11/08/2016,Safaricom Ltd Ord 0.05,19.9
12/08/2016,Safaricom Ltd Ord 0.05,20
15/08/2016,Safaricom Ltd Ord 0.05,20.25
16/08/2016,Safaricom Ltd Ord 0.05,21
17/08/2016,Safaricom Ltd Ord 0.05,21.25
18/08/2016,Safaricom Ltd Ord 0.05,21.25
19/08/2016,Safaricom Ltd Ord 0.05,21.25
22/08/2016,Safaricom Ltd Ord 0.05,20.75
23/08/2016,Safaricom Ltd Ord 0.05,21.25
24/08/2016,Safaricom Ltd Ord 0.05,21.25
25/08/2016,Safaricom Ltd Ord 0.05,20
26/08/2016,Safaricom Ltd Ord 0.05,19.65
29/08/2016,Safaricom Ltd Ord 0.05,20
30/08/2016,Safaricom Ltd Ord 0.05,20
